iter	Logloss
249	0.04541067918
250	0.04512879478
251	0.04497102084
252	0.04462090041
253	0.04427531795
254	0.04375761376
255	0.04343514776
256	0.04313733971
257	0.04288705073
258	0.04275128853
259	0.04272773738
260	0.04270259434
261	0.04263912049
262	0.0422812272
263	0.04219029886
264	0.04202286942
265	0.04188090672
266	0.04165922996
267	0.04135381639
268	0.04132562594
269	0.0411229632
270	0.04080645401
271	0.04057067869
272	0.03995171914
273	0.03956985979
274	0.03954325881
275	0.03895122715
276	0.03863653681
277	0.03821675169
278	0.03803270283
279	0.03785546525
280	0.0377447
281	0.03750208028
282	0.03714431071
283	0.03695880289
284	0.0363013615
285	0.03616679296
286	0.03614505944
287	0.03592352419
288	0.03562182616
289	0.03532793656
290	0.03507490081
291	0.03503346688
292	0.03482259317
293	0.03472126666
294	0.03447177931
295	0.03432683805
296	0.03430994965
297	0.03428087994
298	0.03417767976
299	0.0339737915
300	0.03356548254
301	0.03348405214
302	0.03339393286
303	0.03321736328
304	0.0328342334
305	0.03262117313
306	0.03234057532
307	0.03198706528
308	0.031886045
309	0.03152710184
310	0.03147030855
311	0.03113149422
312	0.03099723407
313	0.03081947594
314	0.03062151584
315	0.03061692482
316	0.03060263327
317	0.03045035644
318	0.03033440611
319	0.03029895627
320	0.03016856799
321	0.03016505981
322	0.03015130512
323	0.02988671644
324	0.02977779754
325	0.02958635345
326	0.02943037769
327	0.02926199456
328	0.02914816353
329	0.02886167712
330	0.02865207538
331	0.02838830584
332	0.02825896998
333	0.02808604522
334	0.02791599318
335	0.02774572273
336	0.02763526922
337	0.02742827919
338	0.02724966376
339	0.02712256088
340	0.02691776242
341	0.02673118271
342	0.02655691259
343	0.02647680639
344	0.02642057086
345	0.02629857029
346	0.02612576142
347	0.02599114757
348	0.02581581603
349	0.02575427717
350	0.02559201723
351	0.02556953375
352	0.02541738172
353	0.02529234721
354	0.0250569554
355	0.02490181248
356	0.02484956438
357	0.02471479534
358	0.02469434285
359	0.02463281227
360	0.02450801524
361	0.02435999506
362	0.02427294772
363	0.02420954145
364	0.02410254353
365	0.02396495144
366	0.02377449724
367	0.02365199816
368	0.0236326511
369	0.02351487346
370	0.02345913286
371	0.02332537379
372	0.02308556286
373	0.02297564246
374	0.02274794077
375	0.02236294656
376	0.02227651149
377	0.02217838977
378	0.02204238257
379	0.02200644578
380	0.02185240791
381	0.02175099704
382	0.02158025338
383	0.02156561819
384	0.02153380417
385	0.02137982766
386	0.02118968617
387	0.02109494948
388	0.02109265274
389	0.02107022559
390	0.02101528673
391	0.02097047548
392	0.0208371753
393	0.02072846083
394	0.02064065235
395	0.02052913506
396	0.02033700702
397	0.02033701896
398	0.02027877307
399	0.02011717629
